,Video title,Comment,Processed_Comment
85,"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",hame to nahi mila yesa family lekin ab age ham yesi bana sakte hai hamare janrestion ko muskil hai lekin kosis kar sakte hai❤❤❤,hame nahi mila yesa family lekin ab age ham yesi bana sakte hai hamare janrestion ko muskil hai lekin kosis kar sakte hai
86,"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Ranveer shraddha ki awaz nhi pehchan pa rha kya phone me kya bakloli hai yrr😂,ranveer shraddha ki awaz nhi pehchan pa rha kya phone kya bakloli hai yrr
87,"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Ye sab movie me hoti he reall life me to kabi nahi😂,ye sab movie hoti reall life kabi nahi
88,"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor","<a href=""https://www.youtube.com/watch?v=nSuJ5SPpQ2Y&amp;t=6422"">1:47:02</a>  best seen this movie ❤",href best seen movie
89,"Tu Jhoothi Main Makkaar Full Movie Hindi | Ranbir Kapoor, Shraddha Kapoor",Jo jo yaha dr ni hai khana khane jao 🤣🤣🤣🤣🤣🤣,jo jo yaha dr ni hai khana khane jao
90,Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Ha,ha
91,Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Don&#39;t waste your data and time. Movie is not full...,dont waste data time movie full
93,Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,😅kon kon a movie abhi dekh rha h ✌️🤔,kon kon movie abhi dekh rha h
94,Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Full movie nhii hai ye next part kaha hai,full movie nhii hai ye next part kaha hai
95,Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Asa lgta h ki kartik ki body me akshy ka bhoot h . Bilkul same avaj or act,asa lgta h ki kartik ki body akshy ka bhoot h bilkul avaj act
96,Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Ye btao kis kis ko kartik . Ko dekh lgta h ki akshy Kumar ki memikry kr rha ..,ye btao ki ki ko kartik ko dekh lgta h ki akshy kumar ki memikry kr rha
97,Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Majak chal raha ye kon sa movie h,majak chal raha ye kon sa movie h
98,Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Ye phone wala scene Hayat aur Murat k drama ki copy h,ye phone wala scene hayat aur murat k drama ki copy h
99,Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Wowww,wowww
100,Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,"<a href=""https://www.youtube.com/watch?v=leKCVxxQ0ZY&amp;t=1965"">https://youtu.be/leKCVxxQ0ZY?t=32m45s</a>",href
101,Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Akshy Kumar love you too kamedi❤😅,akshy kumar love kamedi
102,Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Meri tarah comment padne kon kon aaya hai 😅😅😅,meri tarah comment padne kon kon aaya hai
103,Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Kon Kon 3 march 2024 ko dekh rahe ho,kon kon march ko dekh rahe ho
104,Latest Bollywood Movie | Bhool Bhulaiyaa 2 | Kartik Aaryan | Kiara Advani,Over acting,acting
105,"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",999999 i 💕 love ❤️ you ❤ pepola ❤ very nice,love pepola nice
107,"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Wrong movie,wrong movie
108,"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Ham ko,ham ko
109,"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Sangli our Satara wali like Karo ❤,sangli satara wali like karo
110,"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Kon Sangli Maharashtra se hai ❤,kon sangli maharashtra se hai
111,"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Ramcharan Ke Sath Na Jaane yah is heroine Ne Tamanna Ne kitne movie Kiye Hain Tamanna Bhatiya aur Ramcharan Jaise hi NTR Mahesh Babu Prabhas superstar Ash KGF ka hero Aisi Na Jaane Ke Kitne ek hi Umra ke hero hai Jinke Sath usne Tamanna Bhatiya Ne acting Ki Hai Lekin Yahan to Apne Papa Ki Umra ke Hero ke sath acting kar raha hai chirenjivi Tamanna Bhati ke liye clap clap,ramcharan ke sath na jaane yah heroine ne tamanna ne kitne movie kiye hain tamanna bhatiya aur ramcharan jaise hi ntr mahesh babu prabhas superstar ash kgf ka hero aisi na jaane ke kitne ek hi umra ke hero hai jinke sath usne tamanna bhatiya ne acting ki hai lekin yahan apne papa ki umra ke hero ke sath acting kar raha hai chirenjivi tamanna bhati ke liye clap clap
112,"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024","Hayla , bina sharch kia mil gay re baba",hayla bina sharch kia mil gay baba
